Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Vowel,F2,CF5,4000,0.058,1000,truncation
Vowel,F2,CF1,250,0.098,1000,truncation
Vowel,F3,CF2,500,0.08,1000,truncation
Vowel,F1,CF4,2000,0.046,1000,truncation
Vowel,F1,CF4,2000,0.045,1000,jitter
Vowel,F1,CF3,1000,0.054,1000,truncation
Vowel,F2,CF3,1000,0.072,1000,truncation
Vowel,F3,CF5,4000,0.085,1000,truncation
Vowel,F3,CF3,1000,0.093,1000,truncation
Vowel,F1,CF2,500,0.057,1000,jitter
Vowel,F2,CF2,500,0.063,1000,truncation
Vowel,F2,CF6,8000,0.099,1000,truncation
Vowel,F3,CF6,8000,0.123,1000,truncation
Vowel,F1,CF6,8000,0.079,1000,truncation
Vowel,F1,CF3,1000,0.051,1000,jitter
Vowel,F3,CF1,250,0.121,1000,truncation
Vowel,F3,CF4,2000,0.083,1000,truncation
Vowel,F1,CF1,250,0.092,1000,jitter
Vowel,F2,CF4,2000,0.062,1000,truncation
Vowel,F2,CF5,4000,0.081,1000,jitter
Vowel,F3,CF4,2000,0.089,1000,jitter
Vowel,F2,CF3,1000,0.068,1000,jitter
Vowel,F1,CF6,8000,0.092,1000,jitter
Vowel,F2,CF1,250,0.122,1000,jitter
Vowel,F2,CF2,500,0.086,1000,jitter
Vowel,F2,CF4,2000,0.072,1000,jitter
Vowel,F3,CF2,500,0.104,1000,jitter
Vowel,F3,CF1,250,0.147,1000,jitter
Vowel,F2,CF6,8000,0.12,1000,jitter
Vowel,F3,CF3,1000,0.095,1000,jitter
Vowel,F1,CF5,4000,0.058,1000,jitter
Vowel,F3,CF6,8000,0.142,1000,jitter
Vowel,F1,CF6,8000,0.093,1000,scattered_jitter
Vowel,F1,CF2,500,0.048,1000,scattered_jitter
Vowel,F1,CF1,250,0.086,1000,scattered_jitter
Vowel,F1,CF3,1000,0.059,1000,scattered_jitter
Vowel,F3,CF5,4000,0.111,1000,jitter
Vowel,F1,CF4,2000,0.054,1000,scattered_jitter
Vowel,F1,CF5,4000,0.056,1000,scattered_jitter
Vowel,F2,CF5,4000,0.063,1000,scattered_jitter
Vowel,F2,CF4,2000,0.067,1000,scattered_jitter
Vowel,F2,CF2,500,0.053,1000,scattered_jitter
Vowel,F2,CF1,250,0.1,1000,scattered_jitter
Vowel,F2,CF3,1000,0.076,1000,scattered_jitter
Vowel,F3,CF4,2000,0.089,1000,scattered_jitter
Vowel,F3,CF3,1000,0.099,1000,scattered_jitter
Stop,F1,CF1,250,0.25,1000,loss
Stop,F1,CF4,2000,0.216,1000,loss
Vowel,F3,CF5,4000,0.093,1000,scattered_jitter
Stop,F1,CF3,1000,0.206,1000,loss
Stop,F1,CF5,4000,0.216,1000,loss
Vowel,F3,CF2,500,0.081,1000,scattered_jitter
Vowel,F3,CF1,250,0.131,1000,scattered_jitter
Stop,F1,CF6,8000,0.247,1000,loss
Vowel,F2,CF6,8000,0.1,1000,scattered_jitter
Vowel,F3,CF6,8000,0.131,1000,scattered_jitter
Stop,F2,CF1,250,0.242,1000,loss
Stop,F2,CF2,500,0.216,1000,loss
Stop,F2,CF5,4000,0.207,1000,loss
Stop,F2,CF3,1000,0.198,1000,loss
Stop,F3,CF3,1000,0.256,1000,loss
Stop,F2,CF4,2000,0.207,1000,loss
Stop,F1,CF3,1000,0.215,1000,truncation
Stop,F2,CF6,8000,0.239,1000,loss
Stop,F3,CF4,2000,0.267,1000,loss
Stop,F1,CF1,250,0.245,1000,truncation
Stop,F3,CF5,4000,0.267,1000,loss
Stop,F3,CF2,500,0.274,1000,loss
Stop,F3,CF6,8000,0.3,1000,loss
Stop,F1,CF4,2000,0.209,1000,truncation
Stop,F1,CF5,4000,0.201,1000,truncation
Stop,F2,CF3,1000,0.221,1000,truncation
Stop,F3,CF1,250,0.303,1000,loss
Stop,F1,CF6,8000,0.243,1000,truncation
Stop,F2,CF1,250,0.249,1000,truncation
Stop,F2,CF4,2000,0.213,1000,truncation
Stop,F2,CF2,500,0.225,1000,truncation
Stop,F2,CF5,4000,0.205,1000,truncation
Stop,F1,CF6,8000,0.251,1000,jitter
Stop,F2,CF4,2000,0.215,1000,jitter
Stop,F3,CF3,1000,0.275,1000,truncation
Stop,F3,CF4,2000,0.268,1000,truncation
Stop,F2,CF5,4000,0.215,1000,jitter
Stop,F1,CF2,500,0.214,1000,jitter
Stop,F1,CF1,250,0.257,1000,jitter
Stop,F3,CF2,500,0.279,1000,truncation
Stop,F2,CF6,8000,0.248,1000,truncation
Stop,F1,CF5,4000,0.223,1000,jitter
Stop,F2,CF3,1000,0.217,1000,jitter
Stop,F3,CF5,4000,0.258,1000,truncation
Stop,F1,CF4,2000,0.222,1000,jitter
Stop,F2,CF2,500,0.208,1000,jitter
Stop,F3,CF1,250,0.307,1000,truncation
Stop,F3,CF6,8000,0.305,1000,truncation
Stop,F2,CF1,250,0.251,1000,jitter
Stop,F1,CF3,1000,0.223,1000,jitter
Stop,F2,CF6,8000,0.246,1000,jitter
Stop,F3,CF3,1000,0.259,1000,jitter
Stop,F3,CF2,500,0.25,1000,jitter
Stop,F3,CF4,2000,0.258,1000,jitter
Stop,F1,CF1,250,0.265,1000,scattered_jitter
Stop,F3,CF1,250,0.295,1000,jitter
Stop,F1,CF5,4000,0.234,1000,scattered_jitter
Stop,F1,CF4,2000,0.231,1000,scattered_jitter
Stop,F1,CF2,500,0.234,1000,scattered_jitter
Stop,F1,CF6,8000,0.249,1000,scattered_jitter
Stop,F2,CF1,250,0.241,1000,scattered_jitter
Stop,F3,CF5,4000,0.259,1000,jitter
Stop,F2,CF2,500,0.212,1000,scattered_jitter
Stop,F2,CF6,8000,0.226,1000,scattered_jitter
Stop,F3,CF2,500,0.263,1000,scattered_jitter
Stop,F2,CF3,1000,0.218,1000,scattered_jitter
Stop,F1,CF3,1000,0.241,1000,scattered_jitter
Stop,F3,CF6,8000,0.289,1000,jitter
Stop,F2,CF4,2000,0.208,1000,scattered_jitter
Stop,F3,CF1,250,0.295,1000,scattered_jitter
Stop,F2,CF5,4000,0.21,1000,scattered_jitter
Stop,F3,CF3,1000,0.271,1000,scattered_jitter
Stop,F3,CF5,4000,0.262,1000,scattered_jitter
Stop,F3,CF4,2000,0.259,1000,scattered_jitter
Stop,F3,CF6,8000,0.278,1000,scattered_jitter
Epenthetic,F3,CF1,250,0.225,117,scattered_jitter
Epenthetic,F3,CF2,500,0.247,117,scattered_jitter
Epenthetic,F3,CF3,1000,0.215,117,scattered_jitter
Epenthetic,F3,CF4,2000,0.23,117,scattered_jitter
Epenthetic,F3,CF5,4000,0.186,117,scattered_jitter
Epenthetic,F3,CF6,8000,0.218,117,scattered_jitter
Silence,F1,CF1,250,0.121,1000,loss
Silence,F1,CF2,500,0.112,1000,loss
Silence,F1,CF3,1000,0.119,1000,loss
Silence,F1,CF4,2000,0.104,1000,loss
Silence,F1,CF6,8000,0.149,1000,loss
Silence,F2,CF6,8000,0.125,1000,loss
Silence,F1,CF5,4000,0.127,1000,loss
Silence,F2,CF1,250,0.099,1000,loss
Silence,F2,CF5,4000,0.105,1000,loss
Silence,F2,CF3,1000,0.098,1000,loss
Silence,F2,CF2,500,0.091,1000,loss
Silence,F2,CF4,2000,0.084,1000,loss
Silence,F3,CF5,4000,0.138,1000,loss
Silence,F1,CF4,2000,0.066,1000,truncation
Silence,F3,CF2,500,0.122,1000,loss
Silence,F2,CF4,2000,0.046,1000,truncation
Silence,F1,CF1,250,0.181,1000,truncation
Silence,F2,CF2,500,0.121,1000,truncation
Silence,F1,CF2,500,0.154,1000,truncation
Silence,F1,CF3,1000,0.152,1000,truncation
Silence,F3,CF6,8000,0.161,1000,loss
Silence,F3,CF4,2000,0.114,1000,loss
Silence,F1,CF5,4000,0.163,1000,truncation
Silence,F2,CF6,8000,0.143,1000,truncation
Silence,F3,CF2,500,0.153,1000,truncation
Silence,F1,CF6,8000,0.18,1000,truncation
Silence,F3,CF3,1000,0.129,1000,loss
Silence,F2,CF1,250,0.145,1000,truncation
Silence,F3,CF1,250,0.13,1000,loss
Silence,F3,CF1,250,0.181,1000,truncation
Silence,F2,CF3,1000,0.119,1000,truncation
Silence,F2,CF5,4000,0.129,1000,truncation
Silence,F3,CF3,1000,0.151,1000,truncation
Silence,F1,CF1,250,0.145,1000,jitter
Silence,F1,CF4,2000,0.108,1000,jitter
Silence,F1,CF5,4000,0.069,1000,jitter
Silence,F3,CF5,4000,0.162,1000,truncation
Silence,F3,CF6,8000,0.179,1000,truncation
Silence,F1,CF2,500,0.067,1000,jitter
Silence,F3,CF4,2000,0.065,1000,truncation
Silence,F2,CF1,250,0.104,1000,jitter
Silence,F1,CF6,8000,0.157,1000,jitter
Silence,F1,CF3,1000,0.139,1000,jitter
Silence,F2,CF4,2000,0.074,1000,jitter
Silence,F2,CF5,4000,0.044,1000,jitter
Silence,F2,CF6,8000,0.114,1000,jitter
Silence,F3,CF2,500,0.065,1000,jitter
Silence,F3,CF3,1000,0.136,1000,jitter
Silence,F2,CF3,1000,0.101,1000,jitter
Silence,F3,CF1,250,0.143,1000,jitter
Silence,F2,CF2,500,0.042,1000,jitter
Silence,F3,CF4,2000,0.106,1000,jitter
Silence,F1,CF3,1000,0.09,1000,scattered_jitter
Silence,F1,CF1,250,0.141,1000,scattered_jitter
Silence,F1,CF6,8000,0.16,1000,scattered_jitter
Silence,F1,CF2,500,0.105,1000,scattered_jitter
Silence,F1,CF4,2000,0.108,1000,scattered_jitter
Silence,F2,CF4,2000,0.08,1000,scattered_jitter
Silence,F1,CF5,4000,0.096,1000,scattered_jitter
Silence,F3,CF6,8000,0.154,1000,jitter
Silence,F2,CF3,1000,0.065,1000,scattered_jitter
Silence,F3,CF5,4000,0.066,1000,jitter
Silence,F2,CF1,250,0.108,1000,scattered_jitter
Silence,F2,CF5,4000,0.069,1000,scattered_jitter
Silence,F2,CF2,500,0.078,1000,scattered_jitter
Silence,F3,CF1,250,0.152,1000,scattered_jitter
Silence,F2,CF6,8000,0.125,1000,scattered_jitter
Silence,F3,CF3,1000,0.099,1000,scattered_jitter
Silence,F3,CF6,8000,0.172,1000,scattered_jitter
Silence,F3,CF5,4000,0.104,1000,scattered_jitter
Silence,F3,CF2,500,0.115,1000,scattered_jitter
Silence,F3,CF4,2000,0.118,1000,scattered_jitter
Fricative,F1,CF2,500,0.092,1000,loss
Fricative,F1,CF4,2000,0.086,1000,loss
Fricative,F2,CF3,1000,0.086,1000,loss
Fricative,F1,CF3,1000,0.078,1000,loss
Fricative,F1,CF1,250,0.123,1000,loss
Fricative,F3,CF2,500,0.131,1000,loss
Fricative,F1,CF5,4000,0.104,1000,loss
Fricative,F2,CF1,250,0.133,1000,loss
Fricative,F3,CF6,8000,0.166,1000,loss
Fricative,F1,CF2,500,0.069,1000,truncation
Fricative,F2,CF4,2000,0.095,1000,loss
Fricative,F2,CF2,500,0.101,1000,loss
Fricative,F2,CF5,4000,0.109,1000,loss
Fricative,F2,CF6,8000,0.131,1000,loss
Fricative,F1,CF6,8000,0.124,1000,loss
Fricative,F3,CF4,2000,0.124,1000,loss
Fricative,F3,CF3,1000,0.114,1000,loss
Fricative,F1,CF1,250,0.106,1000,truncation
Fricative,F3,CF5,4000,0.139,1000,loss
Fricative,F3,CF1,250,0.167,1000,loss
Fricative,F1,CF3,1000,0.066,1000,truncation
Fricative,F2,CF5,4000,0.099,1000,truncation
Fricative,F1,CF2,500,0.086,1000,jitter
Fricative,F1,CF4,2000,0.073,1000,truncation
Fricative,F2,CF2,500,0.094,1000,truncation
Fricative,F1,CF5,4000,0.072,1000,truncation
Fricative,F2,CF1,250,0.136,1000,truncation
Fricative,F2,CF6,8000,0.137,1000,truncation
Fricative,F2,CF3,1000,0.091,1000,truncation
Fricative,F3,CF2,500,0.108,1000,truncation
Fricative,F1,CF6,8000,0.107,1000,truncation
Fricative,F3,CF1,250,0.153,1000,truncation
Fricative,F2,CF4,2000,0.102,1000,truncation
Fricative,F3,CF4,2000,0.115,1000,truncation
Fricative,F3,CF3,1000,0.105,1000,truncation
Fricative,F1,CF1,250,0.107,1000,jitter
Fricative,F3,CF5,4000,0.111,1000,truncation
Fricative,F3,CF6,8000,0.154,1000,truncation
Fricative,F1,CF3,1000,0.077,1000,jitter
Fricative,F1,CF4,2000,0.08,1000,jitter
Fricative,F2,CF5,4000,0.098,1000,jitter
Fricative,F1,CF5,4000,0.077,1000,jitter
Fricative,F2,CF3,1000,0.099,1000,jitter
Fricative,F2,CF2,500,0.11,1000,jitter
Fricative,F1,CF6,8000,0.109,1000,jitter
Fricative,F3,CF1,250,0.162,1000,jitter
Fricative,F1,CF1,250,0.123,1000,scattered_jitter
Fricative,F2,CF1,250,0.127,1000,jitter
Fricative,F3,CF6,8000,0.167,1000,jitter
Fricative,F3,CF5,4000,0.127,1000,jitter
Fricative,F1,CF6,8000,0.115,1000,scattered_jitter
Fricative,F3,CF3,1000,0.129,1000,jitter
Fricative,F3,CF2,500,0.142,1000,jitter
